Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
1;2022-06-30 11:32:06,4;-1,5221;3,0299;160,9225;-4999,9535;0,6656;-0,6937
2;2022-06-30 12:13:56,4;-1,3483;183,826;194,1311;-5000;2,512;354,0107
3;2022-06-30 12:13:59,4;-1,3338;183,8629;193,8861;-5000;2,4835;344,2219
4;2022-06-30 12:14:02,4;-1,283;183,8561;193,7804;-5000;2,5902;316,0274
5;2022-06-30 12:14:05,4;-1,3697;183,7831;193,7804;-5000;2,481;680,0365
6;2022-06-30 12:14:08,4;-1,3094;183,8483;193,9434;-4999,9825;2,6032;360,9531
7;2022-06-30 12:14:11,4;-1,3367;183,8909;192,3638;-4999,9961;2,5037;891,0272
8;2022-06-30 12:14:14,4;-1,3884;183,6673;190,2575;-4999,9562;2,5451;1355,2274
9;2022-06-30 12:14:17,4;-1,3544;182,9962;191,8831;-4999,9719;2,5625;2145,9038
10;2022-06-30 12:14:20,4;-1,3947;183,3552;193,3099;-4999,9937;2,535;2363,832
11;2022-06-30 12:14:23,4;-1,3007;182,7634;194,4401;-4999,9668;2,5246;2943,5945
12;2022-06-30 12:14:26,5;-1,3328;183,8103;195,6859;-4999,9926;2,3937;2324,0637
13;2022-06-30 12:14:29,5;-1,3725;184,7172;195,8417;-4999,9983;2,5062;1745,7787
14;2022-06-30 12:14:32,5;-1,3336;183,9885;195,9137;-4999,9996;2,4952;2029,4514
15;2022-06-30 12:14:35,5;-1,2686;184,0875;194,5964;-4999,9999;2,5844;1697,9064
16;2022-06-30 12:14:38,5;-1,3808;183,9562;194,1593;-5000;2,6438;2146,3693
17;2022-06-30 12:14:41,5;-1,3416;184,209;194,3158;-5000;2,5928;1804,5682
18;2022-06-30 12:14:44,5;-1,3255;184,1302;194,3959;-5000;2,4932;1811,6441
19;2022-06-30 12:14:47,5;-1,3662;185,2224;189,9221;-4999,963;2,6167;1431,753
20;2022-06-30 12:14:50,5;-1,3019;184,2505;192,5291;-4999,9917;2,6847;1336,9775
21;2022-06-30 12:14:53,5;-1,4188;183,8604;193,155;-4999,9982;2,5342;1486,2851
22;2022-06-30 12:14:56,5;-1,2877;184,7188;193,6696;-4999,9996;2,4164;2434,6519
23;2022-06-30 12:14:59,5;-1,3294;184,1031;194,3581;-4999,9999;2,4951;1721,813
24;2022-06-30 12:15:02,5;-1,3257;185,9412;195,648;-5000;2,643;1591,5855
25;2022-06-30 12:15:05,5;-1,2872;185,0915;195,908;-5000;2,4879;1434,6733
26;2022-06-30 12:15:08,5;-1,3117;184,4977;195,8272;-5000;2,5754;1322,422
27;2022-06-30 12:15:11,5;-1,3597;185,0201;199,2779;-5000;2,5647;1463,6878
28;2022-06-30 12:15:14,5;-1,4552;184,1809;200,4137;-4999,9611;2,5391;1356,6647
29;2022-06-30 12:15:17,5;-1,4013;184,0705;201,9702;-4999,9913;2,5561;1450,642
30;2022-06-30 12:15:20,5;-1,4387;185,1533;202,5116;-4999,9981;2,6392;1261,6966
31;2022-06-30 12:15:23,5;-1,3778;188,9012;206,9243;-4999,9996;2,6073;1338,0092
32;2022-06-30 12:15:26,5;-1,3604;202,7677;217,9475;-4999,9999;2,5781;1389,4827
33;2022-06-30 12:15:29,5;-1,3692;227,1969;231,4598;-5000;2,4517;1315,0838
34;2022-06-30 12:15:32,5;-1,4532;241,1179;250,9508;-5000;2,5044;1255,701
35;2022-06-30 12:15:35,5;-1,4086;247,9918;267,2479;-5000;2,5262;1551,8693
36;2022-06-30 12:15:38,5;-1,3068;263,0455;279,2984;-4999,9548;2,6305;1322,2817
37;2022-06-30 12:15:41,5;-1,3841;277,6027;288,9647;-4999,9899;2,4837;1204,7638
38;2022-06-30 12:15:44,5;-1,3677;291,6733;298,2015;-4999,9978;2,6307;1321,2869
39;2022-06-30 12:15:47,5;-1,3322;301,2154;312,4715;-4999,9995;2,4202;1294,2108
40;2022-06-30 12:15:50,5;-1,3443;307,5199;323,3527;-4999,9999;2,6696;1449,348
41;2022-06-30 12:15:53,5;-1,3667;313,2522;335,6547;-5000;2,5789;1338,3251
42;2022-06-30 12:15:56,5;-1,3112;322,7953;339,7838;-4999,9739;2,5213;1218,6679
43;2022-06-30 12:15:59,5;-1,2453;326,7572;342,7438;-4999,9942;2,481;1915,7429
44;2022-06-30 12:16:02,5;-1,4014;327,6767;353,6928;-4999,9987;2,6762;1665,4471
45;2022-06-30 12:16:05,5;-1,4097;334,7624;370,9954;-4999,9761;2,6355;1943,5664
46;2022-06-30 12:16:08,5;-1,3836;339,9335;376,6473;-4999,9947;2,6728;1356,2016
47;2022-06-30 12:16:11,5;-1,332;341,7694;377,7427;-4999,9988;2,6049;1735,0221
48;2022-06-30 12:16:14,5;-1,3754;345,3621;381,7486;-4999,9997;2,6012;1578,167
49;2022-06-30 12:16:17,5;-1,3312;350,4308;388,8514;-4999,9999;2,4888;1546,4906
50;2022-06-30 12:16:20,5;-1,3659;352,7685;395,9315;-4999,9224;2,6199;1355,8484
51;2022-06-30 12:16:23,5;-1,3758;356,3735;400,1624;-4999,9643;2,4934;1701,4566
52;2022-06-30 12:16:26,5;-1,3911;359,1788;403,9783;-4999,992;2,5595;1530,088
53;2022-06-30 12:16:29,5;-1,4079;359,8022;403,0685;-4999,9982;2,5034;1414,0585
54;2022-06-30 12:16:32,5;-1,4403;364,1822;403,1793;-4999,9996;2,5325;1352,757
55;2022-06-30 12:16:35,5;-1,407;366,6977;408,3824;-4999,9786;2,6464;1172,7266
56;2022-06-30 12:16:38,5;-1,4169;368,2026;416,6609;-4999,9952;2,6315;1684,0033
57;2022-06-30 12:16:41,5;-1,3635;371,0857;420,386;-4999,9438;2,4756;1675,3343
58;2022-06-30 12:16:44,5;-1,3988;372,6818;421,5001;-4999,9875;2,6209;1461,6301
59;2022-06-30 12:16:47,5;-1,3977;376,2319;421,3924;-4999,9972;2,5938;1782,762
60;2022-06-30 12:16:50,5;-1,3321;379,7988;421,0087;-4999,9994;2,489;1347,1356
61;2022-06-30 12:16:53,5;-1,377;383,3013;424,5877;-4999,9999;2,6535;1915,5256
62;2022-06-30 12:16:56,5;-1,4254;386,9285;427,5139;-5000;2,654;1603,8243
