Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
1;2022-07-11 14:06:33,2;-1,2597;186,5472;195,8471;-5000;2,4943;213,3645
2;2022-07-11 14:07:28,4;-1,241;187,2351;194,4259;-4999,9996;2,5295;196,2096
3;2022-07-11 14:07:31,4;-1,2481;186,9966;195,476;-4999,9999;2,4102;1144,0762
4;2022-07-11 14:07:34,4;-1,2282;188,3677;195,8728;-5000;2,496;883,149
5;2022-07-11 14:07:37,4;-1,2451;189,553;195,773;-4999,9807;2,5816;379,3093
6;2022-07-11 14:07:40,4;-1,2737;187,4837;195,9874;-4999,9957;2,5697;1183,8514
7;2022-07-11 14:07:43,4;-1,3006;187,2257;195,9311;-4999,999;2,6051;1084,9697
8;2022-07-11 14:07:46,4;-1,2589;187,1638;196,6407;-4999,9998;2,6343;453,6163
9;2022-07-11 14:07:49,4;-1,2232;185,9668;194,9646;-5000;2,53;1453,5917
10;2022-07-11 14:07:52,4;-1,2152;187,7151;195,3194;-5000;2,4496;1448,6419
11;2022-07-11 14:07:55,4;-1,2006;187,9887;195,8743;-5000;2,496;1495,3636
12;2022-07-11 14:07:58,5;-1,2087;188,2553;195,6124;-5000;2,5523;1463,724
13;2022-07-11 14:08:01,5;-1,2545;187,5588;195,6306;-5000;2,5182;1461,1811
14;2022-07-11 14:08:04,5;-1,3105;186,7412;195,8112;-5000;2,5191;1491,861
15;2022-07-11 14:08:07,5;-1,2793;187,7563;195,9586;-5000;2,5224;1718,8853
16;2022-07-11 14:08:10,5;-1,2177;187,6819;196,3265;-5000;2,4611;1973,0222
17;2022-07-11 14:08:13,5;-1,2428;186,42;197,1535;-5000;2,4284;1465,9861
18;2022-07-11 14:08:16,5;-1,2456;187,3237;196,3802;-5000;2,5155;1535,3599
19;2022-07-11 14:08:19,5;-1,2942;187,4214;195,3564;-4999,9501;2,5924;1996,2248
20;2022-07-11 14:08:22,5;-1,2441;187,6966;195,6078;-4999,9628;2,4055;1607,7991
21;2022-07-11 14:08:25,5;-1,3384;187,6529;195,4669;-4999,9917;2,5399;1944,0066
22;2022-07-11 14:08:28,5;-1,2268;188,4018;195,251;-4999,9372;2,5185;1472,8731
23;2022-07-11 14:08:31,5;-1,2448;186,5359;195,7483;-4999,986;2,5186;2379,8157
24;2022-07-11 14:08:34,5;-1,217;187,3245;195,918;-4999,9969;2,5774;1773,9739
25;2022-07-11 14:08:37,5;-1,3172;187,5552;195,6775;-4999,9993;2,6386;2438,1603
26;2022-07-11 14:08:40,5;-1,303;187,5758;196,1243;-4999,959;2,6103;1657,2247
27;2022-07-11 14:08:43,5;-1,2699;188,2872;196,0924;-4999,9908;2,6991;2606,4467
28;2022-07-11 14:08:46,5;-1,314;188,2773;195,6202;-4999,9505;2,5289;2097,2424
29;2022-07-11 14:08:49,5;-1,2643;190,2601;195,0174;-4999,989;2,5799;2054,4364
30;2022-07-11 14:08:52,5;-1,2866;187,5;195,3459;-4999,9975;2,444;1649,8381
31;2022-07-11 14:08:55,5;-1,2582;186,0203;196,7544;-4999,9994;2,499;1962,5028
32;2022-07-11 14:08:58,5;-1,307;188,0153;201,5975;-4999,9999;2,4401;2197,9328
33;2022-07-11 14:09:01,5;-1,2452;195,4349;238,8072;-4999,9842;2,5051;1768,2795
34;2022-07-11 14:09:04,5;-1,3041;240,2728;297,0201;-4999,9965;2,4864;1899,9953
35;2022-07-11 14:09:07,5;-1,3172;284,9417;319,9551;-4999,9992;2,5037;1460,8255
36;2022-07-11 14:09:10,5;-1,265;306,8185;325,408;-4999,9998;2,4953;1352,946
37;2022-07-11 14:09:13,5;-1,2789;305,1289;330,9424;-5000;2,3372;1284,5705
38;2022-07-11 14:09:16,5;-1,2015;289,4202;336,8057;-5000;2,5707;1207,7175
39;2022-07-11 14:09:19,5;-1,2808;275,576;334,2744;-4999,9611;2,4574;1228,9839
40;2022-07-11 14:09:22,5;-1,2102;275,7801;344,9335;-4999,9913;2,4983;1733,7232
41;2022-07-11 14:09:25,5;-1,2411;284,9183;349,8478;-4999,9981;2,4987;1530,339
42;2022-07-11 14:09:28,5;-1,2832;292,6708;352,5078;-4999,9996;2,4796;1240,6772
43;2022-07-11 14:09:31,5;-1,2941;305,5664;343,4667;-4999,9999;2,4032;1161,2702
44;2022-07-11 14:09:34,5;-1,1831;310,2701;319,4794;-5000;2,4861;1285,2922
45;2022-07-11 14:09:37,5;-1,2167;311,6451;305,459;-5000;2,4716;1395,4894
46;2022-07-11 14:09:40,5;-1,223;311,6849;314,4154;-5000;2,4573;2003,1584
47;2022-07-11 14:09:43,5;-1,3371;314,5793;313,8452;-5000;2,5724;1441,5987
48;2022-07-11 14:09:46,5;-1,2694;317,0868;323,0104;-5000;2,528;1861,2381
49;2022-07-11 14:09:49,5;-1,2831;319,2696;348,454;-5000;2,4725;1351,4979
50;2022-07-11 14:09:52,5;-1,2574;315,8381;345,0355;-5000;2,4792;1750,1771
51;2022-07-11 14:09:55,5;-1,3048;321,7416;342,528;-5000;2,4479;1547,7231
52;2022-07-11 14:09:58,5;-1,2766;328,0638;352,0483;-5000;2,6078;1448,1033
53;2022-07-11 14:10:01,5;-1,361;332,8707;363,0864;-5000;2,5457;1297,2294
54;2022-07-11 14:10:04,5;-1,3555;334,3527;370,6503;-5000;2,5936;1630,737
55;2022-07-11 14:10:07,5;-1,3204;330,0307;376,3073;-5000;2,6705;1252,2611
56;2022-07-11 14:10:10,5;-1,2815;336,6452;376,6567;-5000;2,4878;1475,0189
57;2022-07-11 14:10:13,5;-1,3956;339,693;376,7031;-5000;2,4813;1215,9153
58;2022-07-11 14:10:16,5;-1,2866;341,6258;376,657;-5000;2,5552;1615,7747
59;2022-07-11 14:10:19,5;-1,2763;349,3809;380,5173;-5000;2,5115;1253,7781
60;2022-07-11 14:10:22,5;-1,3352;358,1818;384,9076;-5000;2,5191;2270,8705
61;2022-07-11 14:10:25,5;-1,3042;365,7532;388,9687;-4999,9739;2,5247;1427,717
62;2022-07-11 14:10:28,5;-1,2373;370,8369;395,4931;-4999,9942;2,3468;1257,1718
