Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
1;07:27,2;825,8482;578,0889;619,5571;3274,3637;2,3111;-4999,8205
2;19:43,6;219,5289;184,7665;202,3523;890,5565;2,495;-4999,9118
3;19:46,6;219,723;186,3003;204,214;895,369;2,4253;-4999,9494
4;19:49,6;219,7415;186,3058;202,9948;896,9945;2,3761;-4999,8891
5;19:52,6;219,7233;184,6592;203,6932;894,0227;2,3614;-4999,9753
6;19:55,6;219,6771;186,32;204,7084;891,9884;2,3832;-4999,9945
7;19:58,6;219,7263;186,8255;204,8504;892,8491;2,4043;-4999,93
8;20:01,6;219,5848;186,926;204,8038;891,8865;2,4056;-4999,8827
9;20:04,6;219,671;186,9845;203,1818;888,4782;2,5026;-4999,9738
10;20:07,6;219,6625;185,3884;202,651;893,7791;2,3312;-4999,8737
