Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
285;2024-04-11 11:29:12,4;0;0;0;0;0;0
286;2024-04-11 12:16:57,3;220,222;180,3045;202,5625;904,9928;2,2679;-4999,8989
287;2024-04-11 12:17:00,3;219,7236;181,3984;202,517;898,9064;2,2167;-4999,9786
288;2024-04-11 12:17:03,3;219,6176;181,8232;202,0949;897,6002;2,0808;-4999,9261
289;2024-04-11 12:17:06,3;219,611;180,8817;202,1024;899,2153;2,2149;-4999,9587
290;2024-04-11 12:17:09,3;219,6794;179,6681;202,0089;900,8604;2,2509;-4999,9298
291;2024-04-11 12:17:12,3;219,6498;179,3594;202,5569;898,6699;2,2886;-4999,963
292;2024-04-11 12:17:15,3;219,6226;179,5763;202,6972;901,7801;2,1837;-4999,9016
293;2024-04-11 12:17:18,3;219,5476;180,7185;202,4238;901,0373;2,209;-4999,9781
294;2024-04-11 12:17:21,3;219,814;180,8536;203,0647;899,7292;2,2213;-4999,9019
295;2024-04-11 12:17:24,3;219,6334;179,9128;202,3283;902,7406;2,2779;-4999,8479
296;2024-04-11 12:17:27,4;219,6757;181,5558;202,3337;904,4066;2,3011;-4999,8523
297;2024-04-11 12:17:30,4;219,6025;181,4835;202,7201;902,7406;2,3596;-4999,9053
298;2024-04-11 12:17:33,4;219,7153;180,4202;202,2609;903,7073;2,3643;-4999,9062
299;2024-04-11 12:17:36,4;220,4428;179,4249;202,1384;903,4239;2,0932;-4999,9292
300;2024-04-11 12:17:39,4;219,8174;181,164;203,0555;901,8664;2,1046;-4999,8686
301;2024-04-11 12:17:42,4;219,5638;181,8519;202,3108;903,1097;2,1154;-4999,8464
302;2024-04-11 12:17:45,4;219,5981;181,316;202,6766;903,499;2,3237;-4999,9657
303;2024-04-11 12:17:48,4;219,6784;179,809;202,2664;901,0273;2,3223;-4999,8888
304;2024-04-11 12:17:51,4;219,6637;180,3425;202,2799;899,8606;2,2212;-4999,94
305;2024-04-11 12:17:54,4;219,8048;180,6351;210,0166;902,3062;2,2963;-4999,9155
306;2024-04-11 12:17:57,4;219,6947;180,2616;230,0245;903,5224;2,2333;-4999,936
307;2024-04-11 12:18:00,4;219,9671;179,7555;233,5716;900,3813;2,3239;-4999,8969
308;2024-04-11 12:18:03,4;219,7732;179,9183;228,3311;903,204;2,2884;-4999,9213
309;2024-04-11 12:18:06,4;219,9299;179,4832;230,5586;906,3273;2,1627;-4999,9666
310;2024-04-11 12:18:09,4;219,7266;181,9194;235,8341;906,6956;2,3313;-4999,8961
311;2024-04-11 12:18:12,4;219,6588;188,8261;236,1484;901,4537;2,1072;-4999,9544
312;2024-04-11 12:18:15,4;219,6729;198,983;235,357;901,56;2,3083;-4999,9898
313;2024-04-11 12:18:18,4;219,7818;218,2488;241,9465;902,0907;2,2443;-4999,9046
314;2024-04-11 12:18:21,4;220,4985;241,3577;249,6266;902,4256;2,2313;-4999,8927
315;2024-04-11 12:18:24,4;219,8068;276,9793;253,0338;902,8651;2,2679;-4999,9352
316;2024-04-11 12:18:27,4;220,7441;284,7858;263,7001;901,5867;2,2733;-4999,8622
317;2024-04-11 12:18:30,4;219,9118;284,7861;287,4019;902,9519;2,2373;-4999,8599
318;2024-04-11 12:18:33,4;219,6972;288,3091;308,4544;906,5489;2,3284;-4999,8807
319;2024-04-11 12:18:36,4;219,8913;293,1811;314,2883;902,0967;2,2439;-4999,9235
320;2024-04-11 12:18:39,4;222,3169;298,6764;320,6839;899,5721;2,2451;-4999,9829
321;2024-04-11 12:18:42,4;224,0089;311,6428;330,1324;902,235;2,151;-4999,8655
322;2024-04-11 12:18:45,4;225,5539;326,7653;347,2855;905,9216;2,2182;-4999,9331
323;2024-04-11 12:18:48,4;229,0901;333,8884;359,3685;913,7733;2,2361;-4999,9352
324;2024-04-11 12:18:51,4;228,8712;331,2999;370,6931;979,8816;2,2637;-4999,889
325;2024-04-11 12:18:54,4;227,9978;332,8006;368,6545;1066,2332;2,3949;-4999,9183
326;2024-04-11 12:18:57,4;260,8637;331,3083;362,2902;1185,6639;2,2001;-4999,9365
327;2024-04-11 12:19:00,4;312,7078;332,5561;360,4921;1255,8235;2,3357;-4999,9262
328;2024-04-11 12:19:03,4;364,6314;347,0329;361,8775;1341,7997;2,21;-4999,8882
329;2024-04-11 12:19:06,4;407,4007;361,8433;365,0753;1452,8986;2,1801;-4999,9345
330;2024-04-11 12:19:09,4;444,4008;360,6972;365,3472;1543,0747;2,1356;-4999,8572
331;2024-04-11 12:19:12,4;460,266;365,2496;366,6074;1616,6842;2,2231;-4999,9681
332;2024-04-11 12:19:15,4;469,0423;373,7655;386,9042;1634,8159;2,1525;-4999,9578
333;2024-04-11 12:19:18,4;468,0494;376,4857;407,7632;1631,4119;2,2269;-4999,8933
334;2024-04-11 12:19:21,4;469,3842;372,3874;412,0749;1629,3629;2,1956;-4999,8875
335;2024-04-11 12:19:24,4;484,5461;369,3704;411,5165;1660,6034;2,2574;-4999,8862
336;2024-04-11 12:19:27,4;505,4457;375,5344;416,2819;1677,7109;2,3582;-4999,9543
337;2024-04-11 12:19:30,4;524,3843;381,3046;411,9285;1700,1413;2,0809;-4999,8781
338;2024-04-11 12:19:33,4;529,6972;366,8864;408,1045;1738,3311;2,1957;-4999,8798
339;2024-04-11 12:19:36,4;530,8998;366,1764;408,1026;1781,2227;2,2448;-4999,8515
340;2024-04-11 12:19:39,4;537,9797;383,291;411,9762;1810,4826;2,2686;-4999,9502
341;2024-04-11 12:19:42,4;547,1934;373,4875;408,7182;1846,0505;2,2257;-4999,9202
342;2024-04-11 12:19:45,4;550,2129;360,9389;417,7267;1903,136;2,1613;-4999,8739
343;2024-04-11 12:19:48,4;547,6679;356,2121;443,4242;1979,283;2,1878;-4999,9544
344;2024-04-11 12:19:51,4;555,9556;355,69;462,8073;2066,1242;2,1276;-4999,9347
345;2024-04-11 12:19:54,4;558,0706;359,7933;458,8785;2106,2187;2,1445;-4999,8671
346;2024-04-11 12:19:57,4;556,1564;365,5993;452,3556;2136,1594;2,0523;-4999,9134
347;2024-04-11 12:20:00,4;555,5525;366,4538;451,6868;2183,417;2,3041;-4999,8939
348;2024-04-11 12:20:03,4;560,8167;359,471;449,367;2217,7964;2,0954;-4999,8645
349;2024-04-11 12:20:06,4;559,7714;362,3059;451,5578;2209,4933;2,1963;-4999,8357
350;2024-04-11 12:20:09,4;551,188;365,8762;450,9588;2202,4594;2,3122;-4999,8788
351;2024-04-11 12:20:12,4;540,0342;372,025;430,7278;2197,9851;2,3783;-4999,8366
352;2024-04-11 12:20:15,4;535,6881;373,0274;416,5456;2207,9381;2,3577;-4999,9317
353;2024-04-11 12:20:18,4;533,6128;371,9258;403,5839;2206,272;2,2256;-4999,8441
354;2024-04-11 12:20:21,4;531,9946;371,9068;398,7143;2201,0478;2,2062;-4999,8677
355;2024-04-11 12:20:24,4;532,5811;375,3488;390,6465;2195,5417;2,2799;-4999,8399
356;2024-04-11 12:20:27,4;534,0091;381,1577;388,0277;2204,0772;2,2879;-4999,8563
357;2024-04-11 12:20:30,4;532,7539;375,4958;392,5725;2211,1409;2,2232;-4999,8374
358;2024-04-11 12:20:33,4;539,9199;361,1858;400,2271;2211,1545;2,0483;-4999,8303
359;2024-04-11 12:20:36,4;542,3185;358,3575;409,1397;2221,5723;2,1998;-4999,8398
360;2024-04-11 12:20:39,4;541,2353;364,7405;413,7436;2238,9386;2,3197;-4999,7706
361;2024-04-11 12:20:42,4;541,4891;366,8755;422,4564;2232,2684;2,2545;-4999,875
362;2024-04-11 12:20:45,4;539,5206;371,7993;421,4286;2234,6046;2,2869;-4999,8154
363;2024-04-11 12:20:48,4;540,8741;375,2215;422,4528;2242,2361;2,1474;-4999,8412
364;2024-04-11 12:20:51,4;543,6482;370,4492;421,2116;2250,6308;2,2279;-4999,9266
365;2024-04-11 12:20:54,4;543,4308;366,183;426,8838;2239,7101;2,147;-4999,873
366;2024-04-11 12:20:57,4;547,0641;366,2193;429,0933;2220,4885;2,1839;-4999,7879
367;2024-04-11 12:21:00,4;549,0959;364,1896;434,7602;2214,2772;2,3242;-4999,8952
368;2024-04-11 12:21:03,4;553,7006;368,47;438,9458;2199,9801;2,2296;-4999,8926
369;2024-04-11 12:21:06,4;554,3547;377,3456;438,1492;2192,8064;2,2081;-4999,9602
370;2024-04-11 12:21:09,4;557,2456;385,6897;440,2257;2202,4911;2,1455;-4999,8944
371;2024-04-11 12:21:12,4;560,8898;386,6718;444,0733;2198,8994;2,3233;-4999,8809
372;2024-04-11 12:21:15,4;562,2956;382,2732;453,8734;2200,5588;2,3683;-4999,9203
373;2024-04-11 12:21:18,4;564,68;381,019;464,4836;2200,2109;2,3849;-4999,9144
374;2024-04-11 12:21:21,4;568,2243;375,5854;453,0718;2199,9447;2,3129;-4999,8797
375;2024-04-11 12:21:24,4;566,5458;369,354;451,109;2203,4365;2,1954;-4999,804
376;2024-04-11 12:21:27,4;568,8131;366,7815;449,6671;2207,817;2,3621;-4999,8741
377;2024-04-11 12:21:30,4;575,5786;367,2953;449,8665;2198,8775;2,2466;-4999,8978
378;2024-04-11 12:21:33,4;578,3148;368,4801;446,5547;2195,2548;2,0799;-4999,9221
379;2024-04-11 12:21:36,4;577,7508;372,0672;444,7892;2200,1772;2,2014;-4999,884
